	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
12 - 2	12	300	2	202854	36586739	180.3599583937216	143362	21840314	152.34381495793863
12 - 3	12	300	3	1090433	190963011	175.12585459170808	682208	103466441	151.66406872977157
13 - 1	13	301	1	488936	85501155	174.8718748466057	330832	48897529	147.8012441322359
13 - 2	13	301	2	554271	97982990	176.7781283884598	369362	54857870	148.52061121609694
13 - 3	13	301	3	444664	79036172	177.7435816706547	306558	45591422	148.7203791778391
14 - 1	14	302	1	330796	59185262	178.91770759017643	228582	33989296	148.69629279645815
14 - 2	14	302	2	324155	58497605	180.4618315312119	222149	32679634	147.10682469873822
14 - 3	14	302	3	306206	54688833	178.60144151322964	210672	31316949	148.65264012303487
15 - 1	15	303	1	202707	35839962	176.806730897305	138599	20163239	145.47896449469332
15 - 2	15	303	2	171081	30739616	179.6787252821763	120934	17882386	147.86896985132387
15 - 3	15	303	3	256483	45430800	177.12986825637566	174202	25824053	148.2420006658936
16 - 1	16	304	1	254742	43861364	172.17955421563778	170983	26005839	152.09605048455109
16 - 2	16	304	2	223358	36550196	163.63952041117847	146660	22115532	150.7945724805673
16 - 3	16	304	3	211404	34528612	163.32998429547217	140762	21154603	150.28632017163724
17 - 1	17	305	1	351179	63355223	180.40720828978954	262141	40320479	153.81218123071173
17 - 2	17	305	2	497946	88242792	177.21357737586004	358958	53745115	149.72535784130733
17 - 3	17	305	3	644755	116579827	180.81259858395825	475396	72350478	152.1899174582874
18 - 2	18	306	2	5593	931181	166.49043447166102	3562	509601	143.0659741718136
18 - 3	18	306	3	4955	819972	165.48375378405652	3875	565354	145.8978064516129
19 - 1	19	307	1	525076	100551731	191.4993848509549	350462	54922012	156.7131728974896
19 - 2	19	307	2	797973	148794222	186.46523378610556	523809	81840888	156.2418515145788
19 - 3	19	307	3	388458	71667656	184.49267617091166	268231	42153627	157.15419545093596
20 - 1	20	308	1	337247	58921141	174.71212790625268	230045	35472813	154.19945228107545
20 - 2	20	308	2	446428	78214996	175.2018152983236	328463	49683636	151.26098221108617
20 - 3	20	308	3	300486	52393828	174.36362426202885	205194	31334835	152.7083394251294
21 - 1	21	309	1	447616	79167412	176.8645714183586	299099	46618332	155.86254718337406
21 - 2	21	309	2	251101	43427886	172.94987276036335	170346	26468064	155.3782536719383
21 - 3	21	309	3	408359	71016108	173.90606794511692	277456	43062628	155.2052505622513
22 - 1	22	310	1	374037	67245297	179.7824733916698	253337	39147070	154.52567133896747
22 - 2	22	310	2	258107	44666295	173.0534042083322	179613	27552703	153.40038304577064
22 - 3	22	310	3	365714	62422072	170.68548647303632	250166	38431490	153.6239536947467
23 - 1	23	311	1	322689	54837645	169.93961678272268	219676	34283854	156.0655419800069
23 - 2	23	311	2	569863	98493774	172.83763641436627	386760	60169522	155.5732805874444
23 - 3	23	311	3	337012	57711711	171.24527019809383	231272	36011752	155.7116814832751
24 - 1	24	312	1	477502	79593267	166.68677199257803	323057	49902156	154.46857984813826
24 - 2	24	312	2	397466	65310853	164.31808758485002	274173	42169166	153.80495526547108
24 - 3	24	312	3	299370	50979732	170.29004910311656	207355	31948538	154.0765257649924
N1 - 1	N1	313	1	279195	44640482	159.8899765396945	185970	27561780	148.20551701887402
N1 - 2	N1	313	2	250432	39896498	159.3107031050345	175032	25627913	146.41844348461996
N1 - 3	N1	313	3	1070422	178004205	166.2934851862163	655614	98480496	150.2110937228308
N2 - 1	N2	314	1	267453	44591149	166.72517788172127	180483	26896925	149.02747073131542
N2 - 2	N2	314	2	180478	29987026	166.15335941222753	124032	18414899	148.46893543601652
N2 - 3	N2	314	3	903807	148919871	164.76954814468132	593958	87169250	146.75995609117143
N3 - 1	N3	315	1	322020	54124354	168.0776162971244	218352	32647245	149.5165833150143
N3 - 2	N3	315	2	251528	41037357	163.15224149995228	162209	23350928	143.95581009685037
N3 - 3	N3	315	3	295669	50950738	172.32357129086918	205188	30059387	146.4968078055247
N4 - 1	N4	316	1	242248	42405666	175.05063406096232	171275	25773509	150.48027441249454
N4 - 2	N4	316	2	479965	86497570	180.2164116133468	326768	49132023	150.35751052734662
N4 - 3	N4	316	3	235615	42186746	179.04949175561828	164129	24657022	150.22952677467114
N5 - 1	N5	317	1	307167	52842719	172.0325393027246	219857	31634059	143.8847023292413
N5 - 2	N5	317	2	283779	49568457	174.67274534056432	204391	29632848	144.98117823191822
N5 - 3	N5	317	3	428924	73329742	170.96208652348668	302163	43522273	144.03574560750323
N6 - 1	N6	318	1	1127220	200570964	177.93417788896576	751556	112417996	149.5803320045346
N6 - 2	N6	318	2	238568	42819940	179.48735790214948	168879	25177179	149.08413124189508
N6 - 3	N6	318	3	1125189	198926254	176.7936355581151	726350	108660433	149.59789770771667
N7 - 1	N7	319	1	310597	53965305	173.74702588885276	221700	33287582	150.1469643662607
N7 - 2	N7	319	2	340534	59833385	175.70458456424322	241034	35970359	149.23354796418764
N7 - 3	N7	319	3	267069	46317789	173.43004616784427	188376	28278567	150.11767422601605
N8 - 1	N8	320	1	416015	73030128	175.54686249293897	304615	46080745	151.27536398404544
N8 - 2	N8	320	2	287159	49667538	172.96180164995698	208021	31053490	149.28055340566578
N8 - 3	N8	320	3	514415	89744544	174.45942283953616	368472	54780123	148.66834657721617
N9 - 1	N9	321	1	464261	79620661	171.4997835269385	335594	50805531	151.38986692253138
N9 - 2	N9	321	2	162159	28725071	177.1413920904791	119694	18084807	151.09200962454258
N9 - 3	N9	321	3	342571	59677715	174.20539099923812	243764	36576125	150.04727933575097
10 - 1	10	322	1	348937	61145013	175.2322424964965	257267	38867869	151.0798858773181
10 - 2	10	322	2	328665	56758893	172.69527634521472	236935	35493514	149.8027475890012
10 - 3	10	322	3	339801	59138900	174.03980565095452	251113	38075788	151.62810368240594
11 - 1	11	323	1	791914	139605286	176.28844293698558	554690	83961355	151.3662676449909
11 - 2	11	323	2	488520	84498487	172.9683267829362	344808	51964664	150.70608570566807
11 - 3	11	323	3	895516	156662123	174.9406185930793	615943	92612243	150.3584633643048
12 - 1	12	324	1	404826	67962286	167.88023990553967	281291	40776438	144.9617584636551
12 - 2	12	324	2	428839	75810743	176.7813631689282	299131	44527614	148.85656785822934
12 - 3	12	324	3	581285	102470725	176.28310553343024	406979	61393274	150.85120853901552
13 - 1	13	325	1	323466	57590677	178.04244340981742	222803	33610391	150.85250647432935
13 - 2	13	325	2	292865	50669714	173.01389377358169	207299	30794258	148.54995923762294
13 - 3	13	325	3	304600	53692826	176.27323046618517	216911	32358199	149.177307743729
14 - 1	14	326	1	241783	43065753	178.11737384348777	168811	25124159	148.83010585803058
14 - 2	14	326	2	815249	149088651	182.8749878871363	557231	83954840	150.66433848798792
14 - 3	14	326	3	314986	56290092	178.70664727956162	224109	33389432	148.98746592060112
15 - 1	15	327	1	257924	44711910	173.35304198135884	176092	26114789	148.30196147468368
15 - 2	15	327	2	297868	51368455	172.45375468328254	198044	29086915	146.8709731170851
15 - 3	15	327	3	647891	113092480	174.55479393910394	425490	63240068	148.62879973677408
16 - 1	16	328	1	256831	44332230	172.61245721894943	175754	26798700	152.47846421703062
16 - 2	16	328	2	331384	58608355	176.8593384110277	232994	36070202	154.81172047348858
16 - 3	16	328	3	395549	67954571	171.79811097992916	277738	42619594	153.45251279983293
17 - 1	17	329	1	342921	62633667	182.64751065114123	247890	37615395	151.74228488442455
17 - 2	17	329	2	386285	71614713	185.39346078672483	278424	42297736	151.9184265724219
17 - 3	17	329	3	512167	92010272	179.64896605989844	368517	56256667	152.65691135008697
18 - 1	18	330	1	337634	63947599	189.3991689225611	245032	37855575	154.49237242482616
18 - 2	18	330	2	967934	180267570	186.23952666194182	641494	98953424	154.25463683214497
18 - 3	18	330	3	291703	56028770	192.0747129786118	214621	33490466	156.04468341867758
19 - 1	19	331	1	4057	577108	142.2499383781119	2789	391302	140.3019003226963
19 - 2	19	331	2	8734	1518190	173.82528051293795	5966	872607	146.2633255112303
19 - 3	19	331	3	4607	629048	136.54178424137183	2464	356848	144.82467532467533
20 - 1	20	332	1	284493	49135793	172.71353952469832	193165	29928952	154.93982864390546
20 - 2	20	332	2	411593	70779732	171.96534440576005	275990	42673911	154.62122178339794
20 - 3	20	332	3	575648	100457567	174.51214457446218	389247	60048906	154.26941248102105
21 - 2	21	333	2	795	81547	102.57484276729559	234	24037	102.72222222222223
21 - 3	21	333	3	1194	182443	152.79983249581238	764	108475	141.9829842931937
22 - 1	22	334	1	521106	90724266	174.09944617793693	355586	55048236	154.8099081516145
22 - 2	22	334	2	392224	67707690	172.62505609039732	279124	42846136	153.50215674753872
22 - 3	22	334	3	484185	83285007	172.01071284736207	336153	51355069	152.77290103018566
23 - 1	23	335	1	2312	238551	103.1794982698962	1317	146163	110.98177676537586
23 - 2	23	335	2	3885	615759	158.4965250965251	2948	422161	143.20251017639077
23 - 3	23	335	3	6927	1036063	149.5687887974592	3969	583092	146.91156462585033
24 - 1	24	336	1	813532	130336557	160.21073172290704	521016	78692913	151.03742111566632
24 - 2	24	336	2	384992	62349965	161.9513262613249	261283	40271741	154.13073563913457
24 - 3	24	336	3	358007	57977335	161.94469661207742	248690	38483174	154.74355221359926
O1 - 1	O1	337	1	330223	51593148	156.23729419210656	222046	33007697	148.65251794673176
O1 - 2	O1	337	2	294961	46005023	155.96985025138918	195311	28774069	147.32436473112114
O1 - 3	O1	337	3	285546	44666200	156.42383363801278	191006	27802082	145.55606630158215
O2 - 1	O2	338	1	318512	51059809	160.30733221982217	211470	31510665	149.00773159313377
O2 - 2	O2	338	2	195428	31697993	162.19780686493235	126995	18737644	147.54631284696248
O2 - 3	O2	338	3	1095780	183153501	167.14440946175327	671150	99813319	148.7198375921925
O3 - 1	O3	339	1	334806	57458494	171.61727687078488	229833	34302688	149.25049057359038
O3 - 2	O3	339	2	240418	40692231	169.25617466246288	163434	24332609	148.88339635571546
O3 - 3	O3	339	3	368409	62187726	168.80077848261035	252133	37237980	147.69181344766452
O4 - 1	O4	340	1	695329	121210468	174.32103076385422	462174	68338608	147.86337613106753
O4 - 2	O4	340	2	269490	47426709	175.98689747300457	182344	27125918	148.76232834642215
O4 - 3	O4	340	3	372153	64510212	173.3432539842484	257000	38413326	149.46819455252918
O5 - 1	O5	341	1	232603	41822510	179.8021091731405	175343	26079185	148.73239878409746
O5 - 2	O5	341	2	201544	34778703	172.56134144405192	150020	22084087	147.20761898413545
O5 - 3	O5	341	3	405192	70425046	173.80660526367745	287911	42796050	148.64333075151697
O6 - 1	O6	342	1	341554	59412793	173.9484620294302	245605	36628186	149.13452902017468
O6 - 2	O6	342	2	311767	54729986	175.5477199318722	221050	32578287	147.37971952047047
O6 - 3	O6	342	3	1126997	190819357	169.31665035488115	670208	100133806	149.4070587041635
O7 - 1	O7	343	1	330490	56818216	171.9211352839723	241961	36332019	150.1565086935498
O7 - 2	O7	343	2	346917	60343831	173.94313625449314	247191	36685554	148.4097479277158
O7 - 3	O7	343	3	438533	75123865	171.30721063181107	323176	48135978	148.94663588880363
O8 - 1	O8	344	1	311351	53332444	171.2936332306625	225419	33735976	149.6589728461221
O8 - 2	O8	344	2	461092	79996698	173.49400553468723	330757	49261716	148.93627648092104
O8 - 3	O8	344	3	315943	52982822	167.69740744374778	233101	35019881	150.23479521752373
O9 - 1	O9	345	1	404442	68293687	168.8590378842949	316008	46860973	148.29046416546416
O9 - 2	O9	345	2	282920	48418538	171.138618690796	207766	30957793	149.00317183754802
O9 - 3	O9	345	3	437208	72035811	164.76324998627655	332267	49157561	147.94596213286303
10 - 1	10	346	1	217736	38290796	175.85881985523753	163461	24875469	152.17984106300585
10 - 2	10	346	2	165239	29062625	175.88235828103535	122964	18526802	150.66850460297323
10 - 3	10	346	3	300082	51519221	171.68380975866597	216385	32646391	150.87178408854587
11 - 1	11	347	1	544003	94794895	174.25436072962833	388965	58522929	150.45808491766613
11 - 2	11	347	2	587294	101641827	173.0680493926381	424195	63365973	149.37934912009806
11 - 3	11	347	3	497894	85627614	171.97960610089697	362462	54714941	150.95359237658016
12 - 1	12	348	1	369610	63267676	171.17414572116556	271025	40480762	149.3617267779725
12 - 2	12	348	2	423938	74513455	175.76498214361533	313681	46904531	149.52939770021135
12 - 3	12	348	3	349206	59842111	171.36621650258013	250025	37307274	149.21417458254174
13 - 1	13	349	1	301320	52656793	174.75372693482012	213838	31582887	147.69539090339416
13 - 2	13	349	2	437624	77009326	175.9714412372265	315364	46670677	147.98986884996384
13 - 3	13	349	3	282702	50563430	178.85770174954547	213216	31956140	149.87683851118115
14 - 1	14	350	1	399730	70916140	177.41010181872764	280064	41821284	149.32759654936015
14 - 2	14	350	2	375776	67851287	180.5631200502427	260408	38913843	149.434130287856
14 - 3	14	350	3	610711	108251293	177.2545328314047	418593	62384834	149.03458490705768
15 - 1	15	351	1	223293	38681760	173.23319584581694	156073	23175342	148.4903987236742
15 - 2	15	351	2	815429	145151924	178.00682094946342	528799	79324647	150.009071499757
15 - 3	15	351	3	503914	87263174	173.17076723409153	346244	51540978	148.85738958653434
16 - 1	16	352	1	202978	33543634	165.2574860329691	139701	20818348	149.0207514620511
16 - 2	16	352	2	185395	30641819	165.27856198926617	123597	18308615	148.13154850036813
16 - 3	16	352	3	238723	39438558	165.20636050987966	162573	24350820	149.7839124577882
17 - 1	17	353	1	398858	72083114	180.72375130999004	288372	43884461	152.18003481614025
17 - 2	17	353	2	342899	62215805	181.44061370840976	245486	37276104	151.84615008595196
17 - 3	17	353	3	881499	158133521	179.39160566262694	588534	90509490	153.78803943357562
18 - 1	18	354	1	380835	70717224	185.68992870928355	263353	40063694	152.1292485751064
18 - 2	18	354	2	371354	67959875	183.0056361315618	262683	39490166	150.33392339816433
18 - 3	18	354	3	290282	53574332	184.55960755403368	204729	31077937	151.80036536103825
19 - 1	19	355	1	296342	54725556	184.67026611145232	208693	32023313	153.4469915138505
19 - 2	19	355	2	370234	67103560	181.2463469049304	257144	39180283	152.3670900351554
19 - 3	19	355	3	352095	62685386	178.03543361876766	241624	36809891	152.34368688540874
20 - 1	20	356	1	611933	103077755	168.44614524792746	403957	60557744	149.91136185287047
20 - 2	20	356	2	339229	59372415	175.02163730105622	237752	35896163	150.98153958746929
20 - 3	20	356	3	341924	58355979	170.6694440869901	238469	35832705	150.26148052786735
21 - 1	21	357	1	876356	153912423	175.62773918361944	560388	87035493	155.31291355275275
21 - 2	21	357	2	271175	46140186	170.1491140407486	186329	28888411	155.03980056781285
21 - 3	21	357	3	267827	44977522	167.93498041646288	187326	28422230	151.7260284210414
22 - 1	22	358	1	261592	42983525	164.31513578396894	179976	27692866	153.86977152509223
22 - 2	22	358	2	377174	65670375	174.11161691951196	261467	40776969	155.95455258216143
22 - 3	22	358	3	337980	56870131	168.26478193975976	235467	36743571	156.04552230248825
23 - 1	23	359	1	486072	81569690	167.81400697839004	326704	51116604	156.46151868357902
23 - 2	23	359	2	422096	69388485	164.39029272961602	289090	44806740	154.99235532187208
23 - 3	23	359	3	303295	50985626	168.10572544882046	209797	32586850	155.32562429396035
24 - 1	24	360	1	1808	301923	166.9928097345133	1028	151582	147.4533073929961
24 - 2	24	360	2	3318	429593	129.47347799879446	2308	348236	150.88214904679376
24 - 3	24	360	3	6074	630739	103.84244320052683	3233	347441	107.46705845963501
P1 - 1	P1	361	1	378700	59432724	156.93880116186955	268110	38164625	142.34689120137256
P1 - 2	P1	361	2	306806	47667637	155.3673559187239	216428	30815041	142.38010331380414
P1 - 3	P1	361	3	251562	38536455	153.1886970210127	174432	24921299	142.87114176297928
P2 - 1	P2	362	1	456902	73043609	159.86712467881514	313275	46172023	147.38495890192323
P2 - 2	P2	362	2	255334	37969044	148.70343941660727	176160	25104551	142.5099398274296
P2 - 3	P2	362	3	496819	78836107	158.681747276171	327975	47724117	145.51144751886577
P3 - 1	P3	363	1	321736	52411393	162.901860531616	215759	32015518	148.38555054482083
P3 - 2	P3	363	2	207970	34682309	166.76592296965907	142879	21061641	147.40893343318473
P3 - 3	P3	363	3	763340	130424233	170.85994838473027	494089	73540651	148.8408991092698
P4 - 1	P4	364	1	537959	90413053	168.06680992417637	378152	54640615	144.4937882121475
P4 - 2	P4	364	2	386125	65840350	170.51563612819683	273164	39214947	143.55825438198298
P4 - 3	P4	364	3	505892	89174733	176.27227352873737	356452	52324629	146.7929174194562
P5 - 1	P5	365	1	247656	42478519	171.52226879219563	174183	25307908	145.29493693414398
P5 - 2	P5	365	2	290804	49989564	171.90122556773633	205887	29809694	144.7866742436385
P5 - 3	P5	365	3	440236	75709151	171.9740116664698	319875	46556942	145.54729816334506
P6 - 1	P6	366	1	324695	60947835	187.7079566978241	247026	38031936	153.95924315659082
P6 - 2	P6	366	2	359463	66037744	183.7122151653995	274566	41530896	151.26015602805882
P6 - 3	P6	366	3	371266	68271903	183.88945661601116	294068	44961864	152.89614646952407
P7 - 1	P7	367	1	302402	51879535	171.55817421842448	226072	33859281	149.7721124243604
P7 - 2	P7	367	2	343989	59821532	173.90536325289472	255990	38487499	150.34766592445018
P7 - 3	P7	367	3	852445	145855070	171.102030042994	613152	91505418	149.23773876624392
P8 - 1	P8	368	1	2119	299022	141.11467673430863	1359	208241	153.23105224429727
P8 - 2	P8	368	2	3526	570081	161.6792399319342	2422	362446	149.64739884393063
P9 - 1	P9	369	1	406176	69626305	171.419052331994	300581	45642182	151.84653055249666
P9 - 2	P9	369	2	321832	53835349	167.27780021874767	238260	35025227	147.0042264752791
P9 - 3	P9	369	3	273622	46271499	169.10737806170556	209718	31366335	149.5643435470489
10 - 1	10	370	1	380388	64793679	170.33575980314836	304994	45408819	148.88430264201918
10 - 2	10	370	2	210618	35335473	167.7704327265476	167377	25017980	149.4708352999516
10 - 3	10	370	3	562185	94973809	168.93693179291515	442503	66412232	150.08312260029876
11 - 1	11	371	1	849654	145542303	171.29596635807047	612123	92027038	150.3407615789637
11 - 2	11	371	2	239653	38881804	162.2420916909031	181150	26629525	147.00262213635108
11 - 3	11	371	3	250035	42613602	170.43054772331874	190302	28583652	150.20153230128952
12 - 1	12	372	1	381900	66460514	174.02595967530766	279654	41972897	150.08867028542414
12 - 2	12	372	2	422573	72574552	171.7444133912957	310126	46293555	149.2733759826651
12 - 3	12	372	3	394741	67923564	172.07121631652146	282421	42108747	149.09920650376566
13 - 1	13	373	1	400707	71097396	177.42988268235894	283012	42034281	148.52473040012438
13 - 2	13	373	2	571895	100157042	175.1318721093907	403388	59787411	148.21316201771
13 - 3	13	373	3	396016	67893667	171.44172710193527	292924	44052348	150.38831915445644
14 - 1	14	374	1	1016946	176906924	173.95901453961173	654336	98123897	149.95949634438577
14 - 2	14	374	2	454032	80136144	176.4988899460831	318690	46752576	146.7023627977031
14 - 3	14	374	3	385393	67277341	174.568144724995	275192	40263079	146.30904604785022
15 - 1	15	375	1	298680	52209249	174.7999497790277	205731	30256693	147.0691971555089
15 - 2	15	375	2	364247	64425026	176.8718095138738	254132	37471198	147.4477751719579
15 - 3	15	375	3	341036	59526703	174.54668422102066	234754	34785721	148.17946020089116
16 - 1	16	376	1	304511	52085953	171.0478537721133	210287	31382602	149.237004665053
16 - 2	16	376	2	257250	42193858	164.0188843537415	172750	25474846	147.46654703328508
16 - 3	16	376	3	318186	50703203	159.35082938909946	218007	32159349	147.51521281426744
17 - 1	17	377	1	467388	86761505	185.63057887665067	338763	51730886	152.70524230804426
17 - 2	17	377	2	417351	77696432	186.16567828997654	304480	46255272	151.9156332107199
17 - 3	17	377	3	218017	40173054	184.26569487700502	157954	23786638	150.59218506653835
18 - 1	18	378	1	481312	89863437	186.70516629545907	339923	51531962	151.59892681577887
18 - 2	18	378	2	469111	83546723	178.09585151488668	323711	47939211	148.09262274065446
18 - 3	18	378	3	469096	85164667	181.55061437317735	321362	48330729	150.39341614752212
19 - 1	19	379	1	1083755	208313993	192.21502369077882	665975	109410244	164.2858125305004
19 - 2	19	379	2	431272	86564493	200.71901955146635	325972	51185110	157.02302651761502
19 - 3	19	379	3	466568	92117954	197.43735961317535	353273	55501960	157.10784577366513
20 - 1	20	380	1	1044	108322	103.75670498084291	548	59068	107.78832116788321
20 - 2	20	380	2	1372	141458	103.10349854227405	327	33628	102.83792048929664
20 - 3	20	380	3	2424	352811	145.54909240924093	1614	252171	156.23977695167287
21 - 1	21	381	1	360896	65793500	182.30598288703672	261319	42113917	161.15903168158457
21 - 2	21	381	2	353778	61753050	174.5531095771925	252636	40195046	159.10260612105955
21 - 3	21	381	3	536610	93860140	174.91313989675928	376204	58907690	156.58443291405726
22 - 1	22	382	1	388690	64444026	165.7980035503872	263922	40702760	154.22268700600935
22 - 2	22	382	2	568803	95525238	167.94081254845702	380963	58208246	152.7923866622218
22 - 3	22	382	3	551079	93129328	168.99451439811716	375368	56974668	151.78349779416465
23 - 1	23	383	1	3563	559093	156.91636261577324	2332	343220	147.17838765008577
23 - 2	23	383	2	3210	444100	138.34890965732086	2007	263455	131.26806178375685
23 - 3	23	383	3	1761	242621	137.77455990914254	1775	236603	133.29746478873238
24 - 1	24	384	1	426418	68259844	160.07730442898753	293709	45881023	156.21251987511448
24 - 2	24	384	2	344709	55488040	160.97067381472488	240909	37198269	154.40796732376126
24 - 3	24	384	3	511503	87360059	170.79090249715054	353200	53258239	150.78776613816535
