	Well ID	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
19 - 3	19	235	3	445501	82984987	186.27340230437193	305089	45813536	150.16449626174656
20 - 1	20	236	1	437876	77964856	178.05236185586787	297177	45941134	154.59130218253034
20 - 2	20	236	2	436104	79650383	182.64079898372864	296457	47306867	159.57412710780991
20 - 3	20	236	3	230938	41268763	178.70061661571503	159537	25177778	157.81779775224555
21 - 1	21	237	1	243254	43648377	179.43539263485903	171278	26220521	153.08750102173076
21 - 2	21	237	2	857592	156954198	183.01732991912237	576696	87740770	152.1438851665349
21 - 3	21	237	3	325635	58056889	178.28823375865616	234313	35572991	151.8182559226334
22 - 1	22	238	1	1144349	207209184	181.07166956933594	682799	105232673	154.11954762675398
22 - 2	22	238	2	409595	73912751	180.45325504461724	281198	42205290	150.09100349220122
22 - 3	22	238	3	295763	54433170	184.04320351091923	208795	31165597	149.26409636246078
23 - 1	23	239	1	382581	68548201	179.1730404803166	287887	43891805	152.46192082310074
23 - 2	23	239	2	367737	65803747	178.94241536750448	283499	43417190	153.14759487687786
23 - 3	23	239	3	378603	68860643	181.8803895362965	289116	43339993	149.90520413951492
24 - 1	24	240	1	399404	67119199	168.04838960050475	277445	41110810	148.176431364775
24 - 2	24	240	2	333869	57477140	172.15476728896664	236283	35854543	151.74406537922746
24 - 3	24	240	3	380186	67781355	178.28472116279926	265862	39929843	150.1901099066433
K1 - 1	K1	241	1	260070	41483375	159.50849771215442	170050	25236961	148.4090620405763
K1 - 2	K1	241	2	208250	33251008	159.66870588235295	137386	20535422	149.47244988572345
K1 - 3	K1	241	3	1142410	194151656	169.94919162122181	701104	104974643	149.72763384604852
K2 - 1	K2	242	1	973768	163932968	168.3491016340648	609434	90360520	148.26957472015016
K2 - 2	K2	242	2	145627	24109991	165.55989617309976	100960	14849734	147.0853209191759
K2 - 3	K2	242	3	268796	45628405	169.7510565633417	180087	26704310	148.28560640135046
K3 - 1	K3	243	1	379525	66443606	175.07043277781437	250712	37147427	148.1677263154536
K3 - 2	K3	243	2	182318	31363733	172.02762755185995	126347	18980689	150.22666941043317
K3 - 3	K3	243	3	674217	118205372	175.3224436642802	441645	65941867	149.3096650024341
K4 - 1	K4	244	1	336464	59729737	177.5219250796519	223857	33358571	149.01732355923647
K4 - 2	K4	244	2	143088	25312845	176.90403807447166	98702	14472614	146.62938947539058
K4 - 3	K4	244	3	1075787	190514929	177.0935408217426	684430	102487410	149.7412591499496
K5 - 1	K5	245	1	1003411	177842355	177.23779687485984	625290	92595410	148.08394504949703
K5 - 2	K5	245	2	1006533	178304554	177.14725100915717	622994	93072982	149.39627347935937
K5 - 3	K5	245	3	681824	121008276	177.47729032712255	443928	65960640	148.58409471806237
K6 - 1	K6	246	1	129979	23197254	178.46924503188976	90093	13177068	146.26073057840233
K6 - 2	K6	246	2	170816	30625098	179.2870574185088	120834	17598312	145.6403992253836
K6 - 3	K6	246	3	710623	125898881	177.16690988048515	470535	69585354	147.88560680927029
K7 - 1	K7	247	1	935207	168280759	179.93958449840517	633987	96268756	151.84657729574897
K7 - 2	K7	247	2	399056	72847926	182.5506344974139	280745	42266407	150.55088069244331
K7 - 3	K7	247	3	944113	166436123	176.28835001742377	652155	98248535	150.65212257822142
K8 - 1	K8	248	1	1001142	174873266	174.67378853349476	663029	98449799	148.48490639172647
K8 - 2	K8	248	2	500316	88043632	175.97604713820866	342350	50700321	148.09499342777858
K8 - 3	K8	248	3	1022987	176582296	172.61440858974748	667725	99516521	149.0381833838781
K9 - 1	K9	249	1	235309	39915722	169.63108933359965	168751	25117506	148.8435979638639
K9 - 2	K9	249	2	464182	80392953	173.19274120926704	327259	49097824	150.02742170574376
K9 - 3	K9	249	3	1155381	198033425	171.40097076202568	684847	102421014	149.55313230546386
10 - 1	10	250	1	702790	125015854	177.88507804607352	491289	73042960	148.6761559896517
10 - 2	10	250	2	1061738	185613752	174.8206732734441	693355	103017674	148.5785405744532
10 - 3	10	250	3	335797	58590518	174.4819578495341	241634	35920649	148.65726263688057
11 - 1	11	251	1	228373	39759088	174.09714808668275	165104	24638447	149.22986117840875
11 - 2	11	251	2	296023	51936949	175.449032676515	217247	32347936	148.89934498520117
11 - 3	11	251	3	322667	55655685	172.48644887763547	226310	33731649	149.05063408598824
12 - 1	12	252	1	180837	31619674	174.85179471015334	129152	19535629	151.26075476957382
12 - 2	12	252	2	238603	42463276	177.9662284212688	164645	24299780	147.58893376658872
12 - 3	12	252	3	747333	132160672	176.84308333768212	509868	76090292	149.23527658138968
13 - 1	13	253	1	831800	148641105	178.69813056023082	546573	81341995	148.82183166749914
13 - 2	13	253	2	819507	146030613	178.19324667147444	535687	78845782	147.18628975502486
13 - 3	13	253	3	1079684	190271925	176.2292717128345	696104	103572991	148.78953575902452
14 - 1	14	254	1	1189123	205160652	172.53106028560543	723786	108011315	149.23100888936784
14 - 2	14	254	2	280736	48805886	173.84975920437708	188065	27432162	145.8653231595459
14 - 3	14	254	3	798813	140052829	175.32617646432894	523140	76805506	146.8163512635241
15 - 1	15	255	1	911212	161941041	177.7204876581959	576423	85893801	149.01175178644849
15 - 2	15	255	2	1124243	198170062	176.2697761960715	695310	103874574	149.39318289683737
15 - 3	15	255	3	795538	141847619	178.30401439026167	515910	76278881	147.85307708708882
16 - 1	16	256	1	426654	72386662	169.66127588162774	279936	41233611	147.29656421467763
16 - 2	16	256	2	290901	48986178	168.39467035176915	200606	29207368	145.5956850742251
16 - 3	16	256	3	181054	29637082	163.6919482585306	132015	18962232	143.63695034655152
17 - 1	17	257	1	391139	69667206	178.11367825760152	317648	50253110	158.20376643328464
17 - 2	17	257	2	376721	68592018	182.07643853143307	311292	49288053	158.33382483327551
17 - 3	17	257	3	238367	42062820	176.4624297826461	191343	29741840	155.4373036902317
18 - 1	18	258	1	480476	89090955	185.42227915650312	356281	55193412	154.91539543225713
18 - 2	18	258	2	334644	63794399	190.63362558420292	242993	37287852	153.45237105595635
18 - 3	18	258	3	385091	73416149	190.6462342667058	282100	43787307	155.2190960652251
19 - 1	19	259	1	244409	44791761	183.26559578411596	169765	25577404	150.66358790092187
19 - 2	19	259	2	698510	131664692	188.49363931797683	472612	72786365	154.00871116264506
19 - 3	19	259	3	419548	76829898	183.1254063897337	284794	43704042	153.4584366243671
20 - 1	20	260	1	3863	637743	165.09008542583484	2197	351632	160.05097860719164
20 - 3	20	260	3	902	94036	104.25277161862527	374	42850	114.57219251336899
21 - 1	21	261	1	323513	57857701	178.84196616519273	219149	33161700	151.32033456689285
21 - 2	21	261	2	674666	121571771	180.19549080582095	453048	69039301	152.38849084423725
21 - 3	21	261	3	1141518	203013470	177.84517633537098	719040	109586046	152.4060497329773
22 - 1	22	262	1	1037090	189351651	182.57976742616358	658099	101118078	153.65177275759422
22 - 2	22	262	2	337374	60888557	180.47791768186048	238904	36489685	152.73785704718213
22 - 3	22	262	3	309442	55719324	180.06386980435752	220493	33329088	151.15712516950651
23 - 1	23	263	1	1003998	171001442	170.3205006384475	628440	95810060	152.45697282158997
23 - 2	23	263	2	223168	38766540	173.7101197304273	155644	23713976	152.36036082341755
23 - 3	23	263	3	257451	45270080	175.8395966611122	176813	27153713	153.57305741093697
24 - 1	24	264	1	364050	62432261	171.49364373025682	252559	38331029	151.77059221805598
24 - 2	24	264	2	434693	76005069	174.84769480990033	297057	45067977	151.71491329946778
24 - 3	24	264	3	394196	67267468	170.64472495915737	270661	41151141	152.03941831294497
L1 - 1	L1	265	1	233429	36992871	158.47590059504174	156094	23199571	148.62564224121363
L1 - 2	L1	265	2	647424	106137924	163.9388159845789	427086	63535552	148.76524166093012
L1 - 3	L1	265	3	1160026	194111856	167.33405630563453	695396	104267607	149.93990043083366
L2 - 1	L2	266	1	182342	30761993	168.7049226179377	124072	18487991	149.01017957315108
L2 - 2	L2	266	2	150833	25781102	170.92481088355996	101476	15098451	148.7883933146754
L2 - 3	L2	266	3	1204013	209809572	174.2585603311592	723782	109828688	151.74277337651392
L3 - 1	L3	267	1	264201	45547237	172.39615671401697	185364	27740157	149.65234349711918
L3 - 2	L3	267	2	662043	114055222	172.27766474383083	442552	64927924	146.7125309568141
L3 - 3	L3	267	3	300275	51588810	171.80521188910166	212551	31236923	146.96201382256493
L4 - 1	L4	268	1	265353	46709966	176.0295380116298	177908	26362702	148.18165568720912
L4 - 2	L4	268	2	228488	39171676	171.43865761002766	157356	23158289	147.17131218383793
L4 - 3	L4	268	3	847535	149272842	176.12587326777066	549373	81809567	148.91442972261106
L5 - 1	L5	269	1	674	69476	103.08011869436201	149	15287	102.59731543624162
L5 - 3	L5	269	3	1185	203219	171.4928270042194	639	94818	148.3849765258216
L6 - 1	L6	270	1	412975	73338777	177.58648102185361	279986	41512579	148.266624045488
L6 - 2	L6	270	2	343979	61126396	177.70385982865233	237858	34942380	146.90375390462418
L6 - 3	L6	270	3	289817	51188977	176.62517036612758	198720	29473948	148.31898148148147
L7 - 1	L7	271	1	950711	165308575	173.87889169263846	630006	93540569	148.47567959670226
L7 - 2	L7	271	2	464228	80807431	174.06841250420052	323098	46970380	145.3750255340485
L7 - 3	L7	271	3	285498	49441716	173.17710106550658	205152	30089748	146.67050772110434
L8 - 1	L8	272	1	586591	102959445	175.5216922864483	410413	61930996	150.89920640915372
L8 - 2	L8	272	2	845042	148020079	175.16298479838872	570033	85317211	149.67065240082593
L8 - 3	L8	272	3	1165475	202769927	173.98050322829747	760133	113783423	149.68883471708241
L9 - 1	L9	273	1	9596	1649036	171.84618591079615	7317	1104511	150.95134618012847
L9 - 2	L9	273	2	2824	292884	103.71246458923513	971	105254	108.39752832131823
10 - 1	10	274	1	977578	153741358	157.26761240535282	796737	111277533	139.66658131855306
10 - 2	10	274	2	253975	39688673	156.26999901565114	218896	30121527	137.60656658869965
10 - 3	10	274	3	901703	141363381	156.77377251711485	710064	98411533	138.5952998602943
11 - 1	11	275	1	229819	40964240	178.2456628912318	168436	25576383	151.8462977035788
11 - 2	11	275	2	205280	37345294	181.92368472330475	149675	22767480	152.11277768498414
11 - 3	11	275	3	547646	97564815	178.1530678577037	385577	58654398	152.12110162172536
12 - 2	12	276	2	1357	183487	135.21518054532055	573	74997	130.8848167539267
12 - 3	12	276	3	2606	461720	177.17574827321565	2197	325644	148.22212107419207
13 - 1	13	277	1	1035139	183042235	176.82865296351505	671518	100459085	149.5999883845258
13 - 2	13	277	2	304724	54334985	178.30884669405756	214841	31917079	148.56139656769426
13 - 3	13	277	3	661872	117410270	177.39120252858558	443846	65866736	148.3999765684494
14 - 1	14	278	1	258828	45685899	176.51065186146784	175240	26326824	150.23296051129878
