ORF	Gene	WellID	Unnamed: 0	Well Number	Position	Membrane Area (# pixels)	Membrane Total intensity	Membrane Mean intensity	W_O Membrane Area (# pixels)	W_O Membrane Total intensity	W_O Membrane Mean intensity
YDR373W	FRQ1	J6	J6 - 3	222	3	679469	100444525	147.82797302010837	486803	72587472	149.11056834078673
YDL247W	MPH2	J7	J7 - 1	223	1	383942	67926748	176.91929510186435	263481	39539056	150.06416401941695
YDL247W	MPH2	J7	J7 - 2	223	2	213111	38085738	178.7131494854794	142836	21081874	147.59496205438404
YDL247W	MPH2	J7	J7 - 3	223	3	655724	115614136	176.3152423885659	447972	67407117	150.47171921459378
YDR380W	ARO10	J8	J8 - 1	224	1	1101586	190359366	172.80481596534452	707768	105991740	149.75491969119824
YDR380W	ARO10	J8	J8 - 2	224	2	357402	62254518	174.18626084912788	250519	37878948	151.20189686211424
YDR380W	ARO10	J8	J8 - 3	224	3	1106025	187378477	169.41613164259397	684125	102429811	149.7238238625982
YDL248W	COS7	J9	J9 - 1	225	1	270380	46261170	171.09686367334862	191749	28973671	151.1020709364847
YDL248W	COS7	J9	J9 - 2	225	2	200755	34613230	172.41528230928245	142400	21505422	151.02122191011236
YDL248W	COS7	J9	J9 - 3	225	3	255493	42899108	167.90717553905586	178535	26736258	149.7535945332848
YBR038W	CHS2	K1	K1 - 1	241	1	260070	41483375	159.50849771215442	170050	25236961	148.4090620405763
YBR038W	CHS2	K1	K1 - 2	241	2	208250	33251008	159.66870588235295	137386	20535422	149.47244988572345
YBR038W	CHS2	K1	K1 - 3	241	3	1142410	194151656	169.9491916212218	701104	104974643	149.72763384604852
YCL056C	PEX34	K2	K2 - 1	242	1	973768	163932968	168.3491016340648	609434	90360520	148.26957472015016
YCL056C	PEX34	K2	K2 - 2	242	2	145627	24109991	165.55989617309976	100960	14849734	147.0853209191759
YCL056C	PEX34	K2	K2 - 3	242	3	268796	45628405	169.7510565633417	180087	26704310	148.28560640135046
YBR040W	FIG1	K3	K3 - 1	243	1	379525	66443606	175.07043277781435	250712	37147427	148.1677263154536
YBR040W	FIG1	K3	K3 - 2	243	2	182318	31363733	172.02762755185995	126347	18980689	150.22666941043315
YBR040W	FIG1	K3	K3 - 3	243	3	674217	118205372	175.3224436642802	441645	65941867	149.3096650024341
YCL058C	FYV5	K4	K4 - 1	244	1	336464	59729737	177.5219250796519	223857	33358571	149.01732355923647
YCL058C	FYV5	K4	K4 - 2	244	2	143088	25312845	176.90403807447166	98702	14472614	146.62938947539058
YCL058C	FYV5	K4	K4 - 3	244	3	1075787	190514929	177.0935408217426	684430	102487410	149.7412591499496
YBR041W	FAT1	K5	K5 - 1	245	1	1003411	177842355	177.23779687485984	625290	92595410	148.08394504949703
YBR041W	FAT1	K5	K5 - 2	245	2	1006533	178304554	177.14725100915717	622994	93072982	149.39627347935937
YBR041W	FAT1	K5	K5 - 3	245	3	681824	121008276	177.47729032712255	443928	65960640	148.58409471806235
YCL063W	VAC17	K6	K6 - 1	246	1	129979	23197254	178.46924503188976	90093	13177068	146.26073057840233
YCL063W	VAC17	K6	K6 - 2	246	2	170816	30625098	179.2870574185088	120834	17598312	145.6403992253836
YCL063W	VAC17	K6	K6 - 3	246	3	710623	125898881	177.16690988048515	470535	69585354	147.88560680927029
YBR042C	CST26	K7	K7 - 1	247	1	935207	168280759	179.93958449840517	633987	96268756	151.84657729574897
YBR042C	CST26	K7	K7 - 2	247	2	399056	72847926	182.5506344974139	280745	42266407	150.55088069244331
YBR042C	CST26	K7	K7 - 3	247	3	944113	166436123	176.28835001742377	652155	98248535	150.65212257822142
YCL069W	VBA3	K8	K8 - 1	248	1	1001142	174873266	174.67378853349476	663029	98449799	148.48490639172647
YCL069W	VBA3	K8	K8 - 2	248	2	500316	88043632	175.97604713820866	342350	50700321	148.09499342777858
YCL069W	VBA3	K8	K8 - 3	248	3	1022987	176582296	172.61440858974748	667725	99516521	149.0381833838781
YBR043C	QDR3	K9	K9 - 1	249	1	235309	39915722	169.63108933359965	168751	25117506	148.8435979638639
YBR043C	QDR3	K9	K9 - 2	249	2	464182	80392953	173.19274120926704	327259	49097824	150.02742170574376
YBR043C	QDR3	K9	K9 - 3	249	3	1155381	198033425	171.40097076202568	684847	102421014	149.55313230546386
YDR034W-B	YDR034W-B	L1	L1 - 1	265	1	233429	36992871	158.47590059504174	156094	23199571	148.62564224121363
YDR034W-B	YDR034W-B	L1	L1 - 2	265	2	647424	106137924	163.9388159845789	427086	63535552	148.76524166093012
YDR034W-B	YDR034W-B	L1	L1 - 3	265	3	1160026	194111856	167.33405630563453	695396	104267607	149.93990043083366
YGL010W	MPO1	L2	L2 - 1	266	1	182342	30761993	168.7049226179377	124072	18487991	149.01017957315108
YGL010W	MPO1	L2	L2 - 2	266	2	150833	25781102	170.92481088355996	101476	15098451	148.7883933146754
YGL010W	MPO1	L2	L2 - 3	266	3	1204013	209809572	174.2585603311592	723782	109828688	151.74277337651392
YDR038C	ENA5	L3	L3 - 1	267	1	264201	45547237	172.39615671401697	185364	27740157	149.65234349711918
YDR038C	ENA5	L3	L3 - 2	267	2	662043	114055222	172.27766474383083	442552	64927924	146.7125309568141
YDR038C	ENA5	L3	L3 - 3	267	3	300275	51588810	171.80521188910166	212551	31236923	146.96201382256493
YDR424C	DYN2	L4	L4 - 1	268	1	265353	46709966	176.0295380116298	177908	26362702	148.18165568720912
YDR424C	DYN2	L4	L4 - 2	268	2	228488	39171676	171.43865761002766	157356	23158289	147.17131218383793
YDR424C	DYN2	L4	L4 - 3	268	3	847535	149272842	176.12587326777066	549373	81809567	148.91442972261106
Control-Blank	None	L5	L5 - 1	269	1	674	69476	103.080118694362	149	15287	102.59731543624162
Control-Blank	None	L5	L5 - 3	269	3	1185	203219	171.4928270042194	639	94818	148.3849765258216
YDR434W	GPI17	L6	L6 - 1	270	1	412975	73338777	177.5864810218536	279986	41512579	148.266624045488
YDR434W	GPI17	L6	L6 - 2	270	2	343979	61126396	177.70385982865233	237858	34942380	146.90375390462418
YDR434W	GPI17	L6	L6 - 3	270	3	289817	51188977	176.62517036612758	198720	29473948	148.31898148148147
YDR039C	ENA2	L7	L7 - 1	271	1	950711	165308575	173.87889169263846	630006	93540569	148.47567959670226
YDR039C	ENA2	L7	L7 - 2	271	2	464228	80807431	174.06841250420052	323098	46970380	145.3750255340485
YDR039C	ENA2	L7	L7 - 3	271	3	285498	49441716	173.17710106550658	205152	30089748	146.67050772110434
YDR437W	GPI19	L8	L8 - 1	272	1	586591	102959445	175.5216922864483	410413	61930996	150.89920640915372
YDR437W	GPI19	L8	L8 - 2	272	2	845042	148020079	175.16298479838872	570033	85317211	149.67065240082593
YDR437W	GPI19	L8	L8 - 3	272	3	1165475	202769927	173.9805032282975	760133	113783423	149.6888347170824
YDR040C	ENA1	L9	L9 - 1	273	1	9596	1649036	171.84618591079615	7317	1104511	150.95134618012847
YDR040C	ENA1	L9	L9 - 2	273	2	2824	292884	103.71246458923513	971	105254	108.39752832131823
YBR070C	ALG14	M1	M1 - 1	289	1	235913	38738764	164.20783933060068	163531	24277943	148.46079948144387
YBR070C	ALG14	M1	M1 - 2	289	2	367457	60692918	165.17012330694476	255131	37690764	147.73102445410396
YBR070C	ALG14	M1	M1 - 3	289	3	1106841	187601731	169.4929362031222	700940	104870100	149.6135189887865
YCR021C	HSP30	M2	M2 - 1	290	1	189643	31019242	163.5665012681723	124576	18347952	147.28320061649114
YCR021C	HSP30	M2	M2 - 2	290	2	298663	49281678	165.00764406705886	197714	29071625	147.03877823522868
YCR021C	HSP30	M2	M2 - 3	290	3	731455	125032676	170.93693528651798	466563	68939148	147.75956944721293
YBR074W	PFF1	M3	M3 - 1	291	1	180541	30799294	170.5944577685955	124504	18451886	148.20315813146564
YBR074W	PFF1	M3	M3 - 2	291	2	231523	39211887	169.36497453816685	153756	22702813	147.6548102187882
YBR074W	PFF1	M3	M3 - 3	291	3	569424	98961218	173.79179311023069	379833	56335970	148.3177343727375
YCR023C	YCR023C	M4	M4 - 1	292	1	395195	69126636	174.91778995179595	268382	39528789	147.2855444850996
YCR023C	YCR023C	M4	M4 - 2	292	2	207022	35968809	173.74389678391668	140915	20780422	147.46777844800056
YCR023C	YCR023C	M4	M4 - 3	292	3	255820	44373776	173.4570244703307	175150	26011618	148.5105224093634
YBR077C	SLM4	M5	M5 - 1	293	1	286444	51550231	179.96617488933265	200788	29968109	149.25249018865668
YBR077C	SLM4	M5	M5 - 2	293	2	440738	79985812	181.481542322196	292929	43582093	148.78039729763867
YBR077C	SLM4	M5	M5 - 3	293	3	541153	95112263	175.75854333247713	370987	55104794	148.53564680163996
YCL021W-A	YCL021W-A	M6	M6 - 1	294	1	191418	32986773	172.32848008024322	137116	20174721	147.1361547886461
YCL021W-A	YCL021W-A	M6	M6 - 2	294	2	361540	63559316	175.80161531227526	255733	37406675	146.27238174189486
YCL021W-A	YCL021W-A	M6	M6 - 3	294	3	760882	132364159	173.96148022952312	519624	76512988	147.24683232491185
YGR049W	SCM4	M7	M7 - 1	295	1	1131714	197775557	174.75754209985917	724614	109253157	150.77428396359994
YGR049W	SCM4	M7	M7 - 2	295	2	361286	64036305	177.24546481181113	252387	37654754	149.19450684860948
YGR049W	SCM4	M7	M7 - 3	295	3	222283	39004640	175.47288816508686	154985	23128534	149.23079007645902
YCR024C-B	YCR024C-B	M8	M8 - 1	296	1	350754	62447905	178.0390387565074	250520	37919615	151.3636236627814
YCR024C-B	YCR024C-B	M8	M8 - 2	296	2	377582	66920438	177.2341848922883	267541	40506639	151.40348208311997
YCR024C-B	YCR024C-B	M8	M8 - 3	296	3	1160740	198995195	171.43821613798093	718269	108610900	151.21201109890583
YBR080C	SEC18	M9	M9 - 1	297	1	261124	45140990	172.8718539850799	189324	28590633	151.01430880395512
YBR080C	SEC18	M9	M9 - 2	297	2	230664	40277044	174.61348108070612	168181	25207634	149.883958354392
YBR080C	SEC18	M9	M9 - 3	297	3	288981	49896691	172.66426166426166	204533	30437129	148.81280282399416
YDR084C	TVP23	N1	N1 - 1	313	1	279195	44640482	159.8899765396945	185970	27561780	148.20551701887402
YDR084C	TVP23	N1	N1 - 2	313	2	250432	39896498	159.3107031050345	175032	25627913	146.41844348461996
YDR084C	TVP23	N1	N1 - 3	313	3	1070422	178004205	166.2934851862163	655614	98480496	150.2110937228308
YDR461W	MFA1	N2	N2 - 1	314	1	267453	44591149	166.7251778817213	180483	26896925	149.02747073131542
YDR461W	MFA1	N2	N2 - 2	314	2	180478	29987026	166.15335941222753	124032	18414899	148.46893543601652
YDR461W	MFA1	N2	N2 - 3	314	3	903807	148919871	164.76954814468132	593958	87169250	146.75995609117143
YDR086C	SSS1	N3	N3 - 1	315	1	322020	54124354	168.0776162971244	218352	32647245	149.5165833150143
YDR086C	SSS1	N3	N3 - 2	315	2	251528	41037357	163.15224149995228	162209	23350928	143.95581009685037
YDR086C	SSS1	N3	N3 - 3	315	3	295669	50950738	172.32357129086918	205188	30059387	146.4968078055247
YDR468C	TLG1	N4	N4 - 1	316	1	242248	42405666	175.05063406096232	171275	25773509	150.48027441249454
YDR468C	TLG1	N4	N4 - 2	316	2	479965	86497570	180.2164116133468	326768	49132023	150.35751052734662
YDR468C	TLG1	N4	N4 - 3	316	3	235615	42186746	179.04949175561828	164129	24657022	150.22952677467114
YDR089W	YDR089W	N5	N5 - 1	317	1	307167	52842719	172.0325393027246	219857	31634059	143.8847023292413
YDR089W	YDR089W	N5	N5 - 2	317	2	283779	49568457	174.67274534056432	204391	29632848	144.98117823191822
YDR089W	YDR089W	N5	N5 - 3	317	3	428924	73329742	170.96208652348668	302163	43522273	144.03574560750323
YDR472W	TRS31	N6	N6 - 1	318	1	1127220	200570964	177.93417788896576	751556	112417996	149.5803320045346
YDR472W	TRS31	N6	N6 - 2	318	2	238568	42819940	179.48735790214948	168879	25177179	149.08413124189508
YDR472W	TRS31	N6	N6 - 3	318	3	1125189	198926254	176.7936355581151	726350	108660433	149.59789770771667
YDR090C	YDR090C	N7	N7 - 1	319	1	310597	53965305	173.74702588885276	221700	33287582	150.1469643662607
YDR090C	YDR090C	N7	N7 - 2	319	2	340534	59833385	175.70458456424322	241034	35970359	149.23354796418764
YDR090C	YDR090C	N7	N7 - 3	319	3	267069	46317789	173.43004616784427	188376	28278567	150.11767422601605
YDR476C	YDR476C	N8	N8 - 1	320	1	416015	73030128	175.54686249293897	304615	46080745	151.27536398404544
YDR476C	YDR476C	N8	N8 - 2	320	2	287159	49667538	172.96180164995698	208021	31053490	149.28055340566578
YDR476C	YDR476C	N8	N8 - 3	320	3	514415	89744544	174.45942283953616	368472	54780123	148.66834657721617
YDR093W	DNF2	N9	N9 - 1	321	1	464261	79620661	171.4997835269385	335594	50805531	151.38986692253138
YDR093W	DNF2	N9	N9 - 2	321	2	162159	28725071	177.1413920904791	119694	18084807	151.09200962454258
YDR093W	DNF2	N9	N9 - 3	321	3	342571	59677715	174.20539099923812	243764	36576125	150.04727933575097
YBR109C	CMD1	O1	O1 - 1	337	1	330223	51593148	156.23729419210656	222046	33007697	148.65251794673176
YBR109C	CMD1	O1	O1 - 2	337	2	294961	46005023	155.96985025138918	195311	28774069	147.32436473112114
YBR109C	CMD1	O1	O1 - 3	337	3	285546	44666200	156.42383363801278	191006	27802082	145.55606630158215
YCR068W	ATG15	O2	O2 - 1	338	1	318512	51059809	160.30733221982217	211470	31510665	149.00773159313377
YCR068W	ATG15	O2	O2 - 2	338	2	195428	31697993	162.19780686493235	126995	18737644	147.54631284696248
YCR068W	ATG15	O2	O2 - 3	338	3	1095780	183153501	167.14440946175327	671150	99813319	148.7198375921925
Control-his3d-SWAT	None	O3	O3 - 1	339	1	334806	57458494	171.61727687078488	229833	34302688	149.25049057359038
Control-his3d-SWAT	None	O3	O3 - 2	339	2	240418	40692231	169.25617466246288	163434	24332609	148.88339635571546
Control-his3d-SWAT	None	O3	O3 - 3	339	3	368409	62187726	168.80077848261035	252133	37237980	147.69181344766452
YCR075C	ERS1	O4	O4 - 1	340	1	695329	121210468	174.32103076385422	462174	68338608	147.86337613106753
YCR075C	ERS1	O4	O4 - 2	340	2	269490	47426709	175.98689747300455	182344	27125918	148.76232834642215
YCR075C	ERS1	O4	O4 - 3	340	3	372153	64510212	173.3432539842484	257000	38413326	149.46819455252918
Control-his3d-GFPdC	None	O5	O5 - 1	341	1	232603	41822510	179.8021091731405	175343	26079185	148.73239878409746
Control-his3d-GFPdC	None	O5	O5 - 2	341	2	201544	34778703	172.56134144405192	150020	22084087	147.20761898413545
Control-his3d-GFPdC	None	O5	O5 - 3	341	3	405192	70425046	173.80660526367743	287911	42796050	148.64333075151697
YGR217W	CCH1	O6	O6 - 1	342	1	341554	59412793	173.9484620294302	245605	36628186	149.13452902017468
YGR217W	CCH1	O6	O6 - 2	342	2	311767	54729986	175.5477199318722	221050	32578287	147.37971952047047
YGR217W	CCH1	O6	O6 - 3	342	3	1126997	190819357	169.31665035488115	670208	100133806	149.4070587041635
YBR110W	ALG1	O7	O7 - 1	343	1	330490	56818216	171.9211352839723	241961	36332019	150.1565086935498
YBR110W	ALG1	O7	O7 - 2	343	2	346917	60343831	173.94313625449314	247191	36685554	148.4097479277158
YBR110W	ALG1	O7	O7 - 3	343	3	438533	75123865	171.30721063181107	323176	48135978	148.94663588880363
YCR094W	CDC50	O8	O8 - 1	344	1	311351	53332444	171.2936332306625	225419	33735976	149.6589728461221
YCR094W	CDC50	O8	O8 - 2	344	2	461092	79996698	173.49400553468723	330757	49261716	148.93627648092104
YCR094W	CDC50	O8	O8 - 3	344	3	315943	52982822	167.69740744374778	233101	35019881	150.23479521752373
YBR126W-A	MEO1	O9	O9 - 1	345	1	404442	68293687	168.8590378842949	316008	46860973	148.29046416546416
YBR126W-A	MEO1	O9	O9 - 2	345	2	282920	48418538	171.138618690796	207766	30957793	149.00317183754802
YBR126W-A	MEO1	O9	O9 - 3	345	3	437208	72035811	164.76324998627655	332267	49157561	147.94596213286303
YDR119W	VBA4	P1	P1 - 1	361	1	378700	59432724	156.93880116186955	268110	38164625	142.34689120137256
YDR119W	VBA4	P1	P1 - 2	361	2	306806	47667637	155.3673559187239	216428	30815041	142.38010331380414
YDR119W	VBA4	P1	P1 - 3	361	3	251562	38536455	153.1886970210127	174432	24921299	142.87114176297928
YDR498C	SEC20	P2	P2 - 1	362	1	456902	73043609	159.86712467881514	313275	46172023	147.38495890192323
YDR498C	SEC20	P2	P2 - 2	362	2	255334	37969044	148.70343941660727	176160	25104551	142.5099398274296
YDR498C	SEC20	P2	P2 - 3	362	3	496819	78836107	158.681747276171	327975	47724117	145.51144751886577
YDR126W	SWF1	P3	P3 - 1	363	1	321736	52411393	162.901860531616	215759	32015518	148.38555054482083
YDR126W	SWF1	P3	P3 - 2	363	2	207970	34682309	166.76592296965907	142879	21061641	147.40893343318473
YDR126W	SWF1	P3	P3 - 3	363	3	763340	130424233	170.85994838473027	494089	73540651	148.8408991092698
YDR503C	LPP1	P4	P4 - 1	364	1	537959	90413053	168.06680992417637	378152	54640615	144.4937882121475
YDR503C	LPP1	P4	P4 - 2	364	2	386125	65840350	170.51563612819683	273164	39214947	143.55825438198298
YDR503C	LPP1	P4	P4 - 3	364	3	505892	89174733	176.27227352873737	356452	52324629	146.7929174194562
YDR135C	YCF1	P5	P5 - 1	365	1	247656	42478519	171.52226879219563	174183	25307908	145.29493693414398
YDR135C	YCF1	P5	P5 - 2	365	2	290804	49989564	171.90122556773633	205887	29809694	144.7866742436385
YDR135C	YCF1	P5	P5 - 3	365	3	440236	75709151	171.9740116664698	319875	46556942	145.54729816334506
YDR504C	SPG3	P6	P6 - 1	366	1	324695	60947835	187.7079566978241	247026	38031936	153.95924315659082
YDR504C	SPG3	P6	P6 - 2	366	2	359463	66037744	183.7122151653995	274566	41530896	151.26015602805882
YDR504C	SPG3	P6	P6 - 3	366	3	371266	68271903	183.8894566160112	294068	44961864	152.89614646952407
YDR137W	RGP1	P7	P7 - 1	367	1	302402	51879535	171.55817421842448	226072	33859281	149.7721124243604
YDR137W	RGP1	P7	P7 - 2	367	2	343989	59821532	173.90536325289472	255990	38487499	150.34766592445018
YDR137W	RGP1	P7	P7 - 3	367	3	852445	145855070	171.102030042994	613152	91505418	149.23773876624392
YDR508C	GNP1	P8	P8 - 1	368	1	2119	299022	141.11467673430863	1359	208241	153.23105224429727
YDR508C	GNP1	P8	P8 - 2	368	2	3526	570081	161.6792399319342	2422	362446	149.64739884393063
YDR141C	DOP1	P9	P9 - 1	369	1	406176	69626305	171.419052331994	300581	45642182	151.84653055249666
YDR141C	DOP1	P9	P9 - 2	369	2	321832	53835349	167.27780021874767	238260	35025227	147.0042264752791
YDR141C	DOP1	P9	P9 - 3	369	3	273622	46271499	169.10737806170556	209718	31366335	149.5643435470489
