ORF	Gene	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Cell Count
YOL041C	NOP12	266989.1281226766	238.51451780669146	196221.9795027881	175.21734649163568	2152
YLR292C	SEC72	213519.11179168755	238.52810697546317	129112.81514121182	143.624100891337	3994
YPL090C	RPS6A	240536.47727703335	238.52869826425678	222928.15154066688	218.27851965098162	3209
YAL060W	BDH1	234157.37439609485	238.55778598326359	177904.13873919105	179.51658069735007	1434
YPR180W	AOS1	216384.54009388702	238.57131479494453	124176.95619757543	135.8108179030178	3877
YBR279W	PAF1	239804.88304087345	238.5713656075028	119831.75812989922	118.88837795352744	3572
YJR047C	ANB1	272951.9576333639	238.58595461961502	355021.6675261228	303.63912333180565	2182
YPR004C	AIM45	263052.6018852158	238.58618517447198	331448.7633755739	263.4028357392103	2178
YOR091W	TMA46	244513.77159051943	238.60072921835604	130546.16381845689	127.10513803832578	1983
YGL022W	STT3	267413.7492022587	238.60276430698153	128669.40761139631	116.35925128850103	3896
YMR305C	SCW10	236463.25667207336	238.6071969499295	105568.38539633287	106.23275613540197	2836
YDR314C	RAD34	236763.63109257323	238.61129979864018	103085.86531119247	103.87281107740586	3824
YKL056C	TMA19	265146.10047653725	238.61313287621357	349342.8794118123	309.1742957686084	2472
YPR186C	PZF1	268991.2522649641	238.6141968555467	136087.7989688747	121.18894954509177	1253
YLR387C	REH1	234651.97449149337	238.62175179111532	143176.51940642722	144.6418295179584	2116
YCL027W	FUS1	215455.47749927157	238.6302873922997	95392.73031425598	104.99894439334028	4805
YHR049W	FSH1	217342.23166160882	238.63690300353358	181936.9216757431	198.2477299875286	4811
YLR174W	IDP2	242466.1297103548	238.6371689608979	158081.05962418538	154.67509364590876	2762
YBR203W	COS111	256272.5753929471	238.63810369017634	112249.39336104115	104.68262089840469	2382
YCR021C	HSP30	225570.08475152365	238.64263748476324	100789.6926610408	106.44118325128926	4266
YJR155W	AAD10	230438.68034539814	238.64594491899345	111617.54290175802	115.4543770320579	2901
YGL209W	MIG2	266168.6371698113	238.65539902893082	113663.66164477987	103.05867232955974	3975
YMR159C	ATG16	261859.1159729567	238.66368057692307	138839.59438822116	127.04504272536057	3328
YER048C	CAJ1	250136.51705902355	238.66882805926647	220637.77089045424	210.14991149380617	4117
YBL023C	MCM2	252409.1865183727	238.67007870078743	122926.331335958	115.89059495406823	1524
YCL026C-A	FRM2	261982.851697287	238.67321231794384	244841.74579533556	220.51775794859591	2101
YDL113C	ATG20	256138.76206060607	238.68381541019954	125014.00003399853	116.7205028307465	1353
YOR194C	TOA1	245310.139226972	238.68450965648856	119088.32823460561	116.08498483969466	3930
YDR506C	GMC1	240782.09792721417	238.68496368438002	118819.04118454107	117.28968065378422	3105
YBR081C	SPT7	243139.77391688313	238.6992869922078	114982.7864322078	112.1117141974026	1925
YAL064W-B	YAL064W-B	261515.34174836602	238.70696681372547	115253.18453594772	105.3091841993464	612
YGR258C	RAD2	284737.14910116926	238.7095426487036	130373.04520488053	110.01599100660906	1967
YOR292C	YOR292C	274402.93147165887	238.7232170878835	148403.62935413417	131.44114153406136	1923
YOL018C	TLG2	304114.61849215924	238.72484299155607	174244.76728468033	137.93929563329314	1658
YDR423C	CAD1	280173.5406240914	238.72626523883696	122583.01970612668	105.23819130841122	1926
YJL037W	IRC18	229664.21533954935	238.72915572649572	131522.4098104118	136.18240062548563	2574
YGR251W	NOP19	220038.2417743127	238.76015158801806	134594.84714854328	145.16411775543702	4874
YKL072W	STB6	266823.7897638677	238.76323353689568	119094.5875389313	107.93207762340967	3930
YMR273C	ZDS1	269452.37620163267	238.76538342857145	121254.24900734695	108.39531195510204	2450
YIL131C	FKH1	248759.74980109127	238.78454011656746	129097.6622514881	123.66413986855159	4032
YLR287C	YLR287C	215447.54923332573	238.79043660596406	138787.5171195083	152.69028005007968	4393
YOR278W	HEM4	234103.21773916847	238.80286035448577	102174.51949059081	103.49835557111597	2285
YBL113C	YBL113C	241374.66410322895	238.8183076076321	182501.55689872798	170.36941311399218	4088
YOL047C	LDS2	254787.85084620296	238.83307172303765	124222.50736375239	115.67756473835354	3134
YHR189W	PTH1	223466.84831673396	238.8346291812472	126717.9026998654	136.30971194257512	4458
YBL056W	PTC3	254785.74893238232	238.8359315863053	184107.77153437948	171.92316091298144	3505
YDR523C	SPS1	262532.19694902614	238.84271225859925	143115.36685370907	130.12435654372152	2413
YGL241W	KAP114	265829.4549479167	238.84779097916666	147626.2097388889	133.0507739965278	2880
YNL265C	IST1	254425.17509519003	238.84996405987218	121287.17930171544	113.92230679448369	2973
YOL113W	SKM1	243009.0033026706	238.85299002472797	116079.14195845697	114.0723837586548	2022
YIL072W	HOP1	227342.03423820058	238.85455224926255	133403.0593864307	138.92833064159294	2712
YGR234W	YHB1	261187.3777637076	238.85745755221933	249970.08640600523	225.4061868929504	1532
YNL130C	CPT1	253774.22367198468	238.864304578813	169306.25913592853	159.99409602105936	3134
YBR196C	PGI1	241662.8124727911	238.86812956114687	255404.13805851372	250.92295313341137	3418
YIL062C	ARC15	237859.34372793522	238.8802314979757	140217.12520809716	137.30837700809718	2470
YCL058W-A	ADF1	235066.99544190947	238.892087020007	115132.62270902071	116.28926823446824	2849
YIL139C	REV7	258106.1494048964	238.8931145386064	143096.54747269303	134.16586569114878	2655
YHR066W	SSF1	270223.0797485349	238.89520836973895	141690.4811507725	125.35099555673948	1877
YOR077W	RTS2	280441.741332353	238.90031981617648	150481.8065897059	128.54707666911764	1360
YOR245C	DGA1	244304.99704505972	238.90364362920738	130097.51811617806	128.20264275515743	3684
YHR014W	SPO13	254173.47283862432	238.90686998015875	119840.10214748677	112.82306188161377	3024
YJL089W	SIP4	259603.1813964655	238.9091810136712	118187.3104528176	109.00754951317106	2999
YDR391C	YDR391C	230918.16290552585	238.9291638018844	208604.5524272982	216.80677046345812	3927
YBL046W	PSY4	276225.8418249895	238.9315015692049	134957.4341851073	117.530937181321	2377
YKR072C	SIS2	244817.2721142568	238.93184898634985	127968.63897067745	124.40620729524773	3956
